region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Kärnten,2020-03-21,1.0089648268944424,1.0181728068954816,0.5671289696162242,1.3945368849139657,0.8741986105979839,1.1578777963532958
Kärnten,2020-03-22,0.9951471399183521,1.0095996482968579,0.5473724163327492,1.3768811643573868,0.8950919560653862,1.1666223558515159
Kärnten,2020-03-23,0.9821393286077572,0.9947941220439351,0.48456654544679345,1.3449378147380464,0.8362533669893772,1.1066400102744274
Kärnten,2020-03-24,0.9663685537799792,0.9936449096441817,0.5480700977764499,1.3945661972338363,0.9191346030333075,1.2050697779126875
Kärnten,2020-03-25,0.9542982742006891,0.9873531477793867,0.5081850230398739,1.3733317697117238,0.8238464906754024,1.1111786513352888
Kärnten,2020-03-26,0.942307688177761,0.9707315026525808,0.5000756357100016,1.3630553237988579,0.9007571398191133,1.2029618404860702
Kärnten,2020-03-27,0.9329987651365058,0.9603298851918418,0.4850862647935732,1.3848832642915536,0.8634567277850447,1.1641948961550974
Kärnten,2020-03-28,0.9223272762105607,0.9460038173283833,0.47555532509976206,1.3680727838531894,0.7726602113873213,1.0951460670322368
Kärnten,2020-03-29,0.9136192804697557,0.9413392123151179,0.46434073259596476,1.3914534567253898,0.821959976458978,1.1392024321642336
Kärnten,2020-03-30,0.9047065340178474,0.9447778929816292,0.39725222077994715,1.3197239549414066,0.8120260714626127,1.1291733647720286
Kärnten,2020-03-31,0.8987775009529252,0.9412476428036498,0.4033400988007856,1.321949665157669,0.827382865732746,1.144259790535005
Kärnten,2020-04-01,0.8912973590344125,0.9361133602147184,0.4171329428296193,1.3511839908385999,0.8186360461913125,1.1471986953548488
Kärnten,2020-04-02,0.8864203361177095,0.9277119806000973,0.41260835692821507,1.3937092154888362,0.7964188805261967,1.1339571430440059
Kärnten,2020-04-03,0.8809926831705549,0.9289915586919005,0.38346189854778967,1.3697353811267008,0.8290259653725578,1.1739603076023235
Kärnten,2020-04-04,0.8748827927517133,0.9323626020345286,0.31284820908518196,1.3239511287493035,0.8267613584601656,1.175354585850791
Kärnten,2020-04-05,0.8675407633171456,0.9259649273974049,0.3711844564292329,1.3881017901173545,0.7902807054320516,1.1532163688037438
Kärnten,2020-04-06,0.8605253315449393,0.9223135441546154,0.3607839558736704,1.3963775379437964,0.7721920798274646,1.1356437682448752
Kärnten,2020-04-07,0.8645144596300867,0.9187586686773489,0.31776254943464277,1.4076925811965304,0.7946070150644136,1.167878707342135
Kärnten,2020-04-08,0.8658610590009869,0.9146284941547012,0.2964331749121877,1.3940890353352628,0.7996340583289144,1.175949487049826
Kärnten,2020-04-09,0.8716211008689533,0.9229503477961845,0.3489250792615969,1.4955529872154778,0.7545742158261688,1.1222524035566956
Kärnten,2020-04-10,0.8725041403430308,0.9278457562194451,0.1957390857019229,1.3561030329623722,0.7921278874685316,1.1716974151477901
Kärnten,2020-04-11,0.8775840076605176,0.9377282164443576,0.2818776514823863,1.413218231344975,0.7870560836714573,1.1735196093349058
Kärnten,2020-04-12,0.8759274376580091,0.9307201093275961,0.23883214936607344,1.4242722906205845,0.7989396777324091,1.1994745108792015
Kärnten,2020-04-13,0.8680187617824942,0.931640951831002,0.231616250039264,1.4299446918675505,0.8033391274455852,1.1993919561814606
Kärnten,2020-04-14,0.8652184837659792,0.9340743815922288,0.2627854120182682,1.466208651153147,0.7808509625777331,1.1841912991926566
Kärnten,2020-04-15,0.8620908963944484,0.9213414941970461,0.22620023006333756,1.4397128007189604,0.7634704872972427,1.1776279040810307
Kärnten,2020-04-16,0.8630331704488018,0.9222225803510196,0.20771465395017064,1.5379418225343944,0.797307335590284,1.2140905378934315
Kärnten,2020-04-17,0.8653889409241082,0.9313973521742972,0.21381125868282969,1.5514269294306895,0.7777493605133788,1.199300760854729
Kärnten,2020-04-18,0.8610943043450037,0.9321546218291463,0.22370891619296174,1.6082971279373828,0.8066804017673523,1.23155294240503
Kärnten,2020-04-19,0.8578125778175438,0.9341781395779603,0.09334144226578234,1.4698869292482037,0.7681091497181506,1.1947256407850633
Kärnten,2020-04-20,0.8572993540263857,0.938468387294306,0.12920285630241746,1.5216289154159854,0.7668024768288301,1.2018948306800081
Kärnten,2020-04-21,0.8566798240771145,0.933485421821339,0.014648927842815018,1.4662532446790604,0.8015102725653517,1.2194107035000756
Kärnten,2020-04-22,0.8656516735041494,0.9318688252658947,0.14359578460851607,1.623515795004564,0.7527721971636095,1.198239983966746
Kärnten,2020-04-23,0.8676478728172906,0.9321693826441779,0.15604644725582162,1.6377907354924384,0.7448454858854027,1.1915571472854511
Kärnten,2020-04-24,0.8722500091335237,0.9332346272341769,0.16462864574196945,1.638988287474966,0.7540316149792868,1.2093471659521393
Kärnten,2020-04-25,0.8693748991913919,0.9343997321543106,0.0736780435252199,1.6051411626721115,0.7090390033290221,1.1642166072534708
Kärnten,2020-04-26,0.8620892222660318,0.9265019754405015,0.12318952449199305,1.678005748891152,0.7076162142433513,1.1574809191875923
Kärnten,2020-04-27,0.8643268360108509,0.9330370102258161,0.07588733020515581,1.6672617941343328,0.759475939559292,1.2110204255079062
Kärnten,2020-04-28,0.8602761460511233,0.9325643480859558,0.016183915579869756,1.6779799804865079,0.731683330201103,1.2058147453680377
Kärnten,2020-04-29,0.8560849992005302,0.9403781923208361,-0.0658586265801846,1.6160870678161796,0.7543970664530062,1.2289884934511701
Kärnten,2020-04-30,0.8566670543448688,0.9363085327386245,0.00675059315126747,1.6961213201913108,0.7367136891346865,1.2071193853971272
Kärnten,2020-05-01,0.856690674554289,0.9305564438276601,0.09348508829005597,1.7922898830256675,0.7003319343703203,1.1894498522498314
Kärnten,2020-05-02,0.8574017130037143,0.931893389659771,-0.08497375495992787,1.7451327444085978,0.7220270238196448,1.214958789643596
Niederösterreich,2020-03-05,1.3747836169247085,1.3198952873494831,0.9556948146363196,1.7798925037742057,1.0984107749567626,1.4077803228382662
Niederösterreich,2020-03-06,1.3749760180319144,1.3287899857243581,1.0161717752514872,1.8293015768226843,1.0729166301635993,1.3760907393764032
Niederösterreich,2020-03-07,1.3715080433472582,1.3267286068315358,1.003663617817492,1.7659612972947727,1.1057300162950021,1.3931478601129492
Niederösterreich,2020-03-08,1.3577053699375679,1.3145635402521578,1.0032755792316856,1.7279949242017945,1.1350231162669326,1.4145170967605978
Niederösterreich,2020-03-09,1.3482165378227062,1.301433901757125,0.9965314167018825,1.7028258379638557,1.1206030846189874,1.3927934771362618
Niederösterreich,2020-03-10,1.3378157874197907,1.289500148655683,0.9912595596055812,1.677281806787081,1.1235528794367995,1.3869166528873182
Niederösterreich,2020-03-11,1.3186552737227957,1.2825761213586564,0.9546895294448232,1.6363378104328192,1.10192149471972,1.3572970151384185
Niederösterreich,2020-03-12,1.3013111123098446,1.2650926523299286,0.9963184020682976,1.632656963454051,1.1234155921020843,1.3562477288276655
Niederösterreich,2020-03-13,1.2769876106119313,1.2417812994706439,0.9703094916970898,1.563124939505355,1.091950851360931,1.3150153751806872
Niederösterreich,2020-03-14,1.2552609665928598,1.22586828639911,0.9906298804927139,1.5905411436525476,1.0682440441661045,1.2790146369664903
Niederösterreich,2020-03-15,1.2259264551134388,1.2012856558106217,0.9693496120876611,1.5092063848303376,1.0723878845272616,1.269981094127009
Niederösterreich,2020-03-16,1.1958361182245156,1.169387012854844,0.9404845935915117,1.4523314188887826,1.0677888542306488,1.2531284191912408
Niederösterreich,2020-03-17,1.166058161403624,1.1410179472046877,0.8958172175922514,1.3973179304652485,1.0440082359858005,1.218555318270015
Niederösterreich,2020-03-18,1.1318662771557602,1.1098003108914942,0.9011020868855604,1.3437966079927608,1.0033794741116913,1.161529101223341
Niederösterreich,2020-03-19,1.0934055484041487,1.076602234650091,0.8609566193275037,1.3093591595330014,0.9728823533428697,1.1331162179811134
Niederösterreich,2020-03-20,1.0562094167899383,1.046861851863377,0.8410006983747959,1.2922928610724684,0.9731348745827364,1.1277581516110033
Niederösterreich,2020-03-21,1.0194017930819173,1.015675290106377,0.7947765711669017,1.2564016896274879,0.9255982388484032,1.0836419687339964
Niederösterreich,2020-03-22,0.9749378063595661,0.9791040671113371,0.7595688231882298,1.190012108041651,0.8971324736583909,1.0434223078379967
Niederösterreich,2020-03-23,0.9308773712480105,0.9406188515081764,0.6977746808809278,1.1372962146520273,0.8754682430390153,1.0406984155640624
Niederösterreich,2020-03-24,0.8902564822881744,0.9106890692161071,0.6494012205939409,1.1175177293476566,0.8252390934495858,0.9999705347592585
Niederösterreich,2020-03-25,0.8510762082356069,0.8753309810491785,0.5864306447834605,1.0948479730472518,0.8160992509464544,1.004053601218674
Niederösterreich,2020-03-26,0.8211310696201364,0.8487517991011073,0.575454577979591,1.105011577692982,0.7676955259962781,0.9623682837928961
Niederösterreich,2020-03-27,0.7975319337859463,0.8252681041299536,0.5217899445136052,1.0898272846409942,0.7564512519641646,0.9574136844215002
Niederösterreich,2020-03-28,0.7878182220783866,0.8171802026031292,0.48183127534396564,1.0594723487765292,0.7639717961510012,0.9742776661668755
Niederösterreich,2020-03-29,0.7807214764551494,0.8054647877218829,0.4794158503580507,1.060235473773618,0.7027673084267012,0.9158004532325132
Niederösterreich,2020-03-30,0.7727756905259243,0.7980058301507642,0.4688806330922828,1.0415578445943623,0.6908888099717496,0.9054136601708209
Niederösterreich,2020-03-31,0.7692037402142292,0.7985513982490311,0.47732594306604037,1.0610964798904918,0.7177829094664457,0.9355467191329814
Niederösterreich,2020-04-01,0.7618906142088998,0.7940766212921637,0.4631064637762349,1.0599878972835033,0.7129575349272028,0.9291464018219008
Niederösterreich,2020-04-02,0.7573693100111609,0.7922739669154043,0.4353290216098532,1.067670017184908,0.7185349284508179,0.9490814927892044
Niederösterreich,2020-04-03,0.7499715726780126,0.7869076229420331,0.43159724902285423,1.0598006785379275,0.738256161392955,0.9679684106656956
Niederösterreich,2020-04-04,0.7490453879556087,0.7765741550914944,0.41998030751820625,1.0866130174297932,0.6716824573899367,0.9183954945140153
Niederösterreich,2020-04-05,0.7396166362646026,0.7753306129738012,0.431848076632673,1.0753221587059156,0.7088303674032072,0.9483447880348449
Niederösterreich,2020-04-06,0.7285414614553669,0.7703347615217919,0.3911926324254037,1.0654217547713545,0.7298571239358336,0.9718170358828061
Niederösterreich,2020-04-07,0.7191802995426388,0.7636713182082209,0.37409295302397483,1.0433781604510957,0.700422606551999,0.9375435941335595
Niederösterreich,2020-04-08,0.7117229796291866,0.7629229043325332,0.3497740777868318,1.0649519116733113,0.7013759558033862,0.9499371098767329
Niederösterreich,2020-04-09,0.7146786500478205,0.7634724437668874,0.35115727909494576,1.065855318137209,0.681616452059705,0.93087516418388
Niederösterreich,2020-04-10,0.7135446140606553,0.7578145105404346,0.33640292151699136,1.0730233512755458,0.6966950196288124,0.9469064902407486
Niederösterreich,2020-04-11,0.7122220210284518,0.7500205748301353,0.33095389906756223,1.104415750057184,0.6506954927163813,0.9194748077768564
Niederösterreich,2020-04-12,0.7185617208139167,0.7640806402831981,0.3049264511720874,1.0905981038096197,0.6897304252837753,0.9619530846764934
Niederösterreich,2020-04-13,0.7239037758401963,0.7697055155718165,0.3069677759158106,1.092287427743998,0.6835464648234537,0.9661061283165482
